iter,scenario,model,F1,MCC,AUC,Accuracy,Precision_yes,Recall_yes,TP,FP,TN,FN,kept_after_corr,kept_after_fs
1,baseline,RandomForest,0.8773,0.0147,0.4966,0.7827,0.7959,0.9774,18,56,2421,621,8,8
1,baseline,Logistic,0.8859,0.0353,0.4428,0.7953,0.7952,1.0000,1,0,2477,638,8,8
1,baseline,NaiveBayes,0.6546,-0.1181,0.4231,0.5160,0.7565,0.5769,179,1048,1429,460,8,8
1,corr_only,RandomForest,0.8809,0.0472,0.4571,0.7885,0.7976,0.9834,21,41,2436,618,6,6
1,corr_only,Logistic,0.8855,0.0099,0.4487,0.7946,0.7951,0.9992,1,2,2475,638,6,6
1,corr_only,NaiveBayes,0.6475,-0.1208,0.4275,0.5093,0.7548,0.5668,183,1073,1404,456,6,6
1,fs_forward,RandomForest,0.8819,0.0367,0.4208,0.7898,0.7967,0.9875,15,31,2446,624,8,4
1,fs_forward,Logistic,0.8857,0.0185,0.4358,0.7949,0.7951,0.9996,1,1,2476,638,8,4
1,fs_forward,NaiveBayes,0.7171,-0.1279,0.4092,0.5751,0.7617,0.6774,114,799,1678,525,8,4
1,fs_backward,RandomForest,0.8819,0.0367,0.4208,0.7898,0.7967,0.9875,15,31,2446,624,8,4
1,fs_backward,Logistic,0.8857,0.0185,0.4358,0.7949,0.7951,0.9996,1,1,2476,638,8,4
1,fs_backward,NaiveBayes,0.7171,-0.1279,0.4092,0.5751,0.7617,0.6774,114,799,1678,525,8,4
1,corr_fs_forward,RandomForest,0.8793,0.0555,0.4676,0.7866,0.7986,0.9782,28,54,2423,611,6,4
1,corr_fs_forward,Logistic,0.8859,0.0353,0.4384,0.7953,0.7952,1.0000,1,0,2477,638,6,4
1,corr_fs_forward,NaiveBayes,0.8716,0.0782,0.4333,0.7766,0.8026,0.9536,58,115,2362,581,6,4
1,corr_fs_backward,RandomForest,0.8793,0.0555,0.4676,0.7866,0.7986,0.9782,28,54,2423,611,6,4
1,corr_fs_backward,Logistic,0.8859,0.0353,0.4384,0.7953,0.7952,1.0000,1,0,2477,638,6,4
1,corr_fs_backward,NaiveBayes,0.8716,0.0782,0.4333,0.7766,0.8026,0.9536,58,115,2362,581,6,4
2,baseline,RandomForest,0.9802,0.0473,0.6228,0.9613,0.9788,0.9817,10,129,6919,150,8,8
2,baseline,Logistic,0.9847,0.0066,0.5902,0.9699,0.9779,0.9916,2,59,6989,158,8,8
2,baseline,NaiveBayes,0.9584,0.1186,0.7375,0.9206,0.9826,0.9354,43,455,6593,117,8,8
2,corr_only,RandomForest,0.9768,0.0564,0.6147,0.9548,0.9792,0.9745,14,180,6868,146,6,6
2,corr_only,Logistic,0.9864,0.0027,0.6831,0.9731,0.9778,0.9950,1,35,7013,159,6,6
2,corr_only,NaiveBayes,0.9687,0.1125,0.7328,0.9395,0.9815,0.9562,33,309,6739,127,6,6
2,fs_forward,RandomForest,0.9700,0.0970,0.5866,0.9420,0.9809,0.9594,28,286,6762,132,8,5
