scenario,model,mean_F1,std_F1,mean_MCC,std_MCC,mean_AUC,std_AUC,mean_Acc,std_Acc,mean_Prec,std_Prec,mean_Rec,std_Rec,n_iters
baseline,RandomForest,0.9605,0.0483,0.0179,0.0186,0.6186,0.0755,0.9282,0.0846,0.9383,0.0824,0.9873,0.0082,4
baseline,Logistic,0.9645,0.0455,0.0083,0.0162,0.6318,0.1273,0.9350,0.0811,0.9378,0.0825,0.9971,0.0032,4
baseline,NaiveBayes,0.8928,0.1378,0.0455,0.0952,0.6715,0.1438,0.8387,0.1870,0.9302,0.1004,0.8618,0.1650,4
corr_only,RandomForest,0.9600,0.0462,0.0266,0.0256,0.5893,0.0772,0.9271,0.0810,0.9388,0.0816,0.9861,0.0086,4
corr_only,Logistic,0.9649,0.0459,0.0011,0.0058,0.6526,0.1202,0.9358,0.0818,0.9378,0.0826,0.9978,0.0017,4
corr_only,NaiveBayes,0.8947,0.1428,0.0464,0.0971,0.6613,0.1354,0.8439,0.1934,0.9296,0.1010,0.8666,0.1732,4
fs_forward,RandomForest,0.9586,0.0452,0.0417,0.0358,0.5779,0.0982,0.9243,0.0796,0.9390,0.0822,0.9834,0.0145,4
fs_forward,Logistic,0.9645,0.0456,0.0041,0.0093,0.6439,0.1387,0.9350,0.0812,0.9378,0.0825,0.9970,0.0033,4
fs_forward,NaiveBayes,0.9110,0.1123,0.0477,0.1014,0.6680,0.1500,0.8584,0.1644,0.9314,0.0981,0.8921,0.1247,4
fs_backward,RandomForest,0.9586,0.0452,0.0417,0.0358,0.5779,0.0982,0.9243,0.0796,0.9390,0.0822,0.9834,0.0145,4
fs_backward,Logistic,0.9645,0.0456,0.0041,0.0093,0.6439,0.1387,0.9350,0.0812,0.9378,0.0825,0.9970,0.0033,4
fs_backward,NaiveBayes,0.9110,0.1123,0.0477,0.1014,0.6680,0.1500,0.8584,0.1644,0.9314,0.0981,0.8921,0.1247,4
corr_fs_forward,RandomForest,0.9580,0.0463,0.0364,0.0191,0.5651,0.0599,0.9236,0.0810,0.9391,0.0812,0.9815,0.0137,4
corr_fs_forward,Logistic,0.9649,0.0457,0.0072,0.0164,0.6527,0.1275,0.9358,0.0814,0.9378,0.0825,0.9978,0.0019,4
corr_fs_forward,NaiveBayes,0.9526,0.0470,0.0955,0.0130,0.6583,0.1304,0.9143,0.0801,0.9413,0.0802,0.9673,0.0099,4
corr_fs_backward,RandomForest,0.9580,0.0463,0.0364,0.0191,0.5651,0.0599,0.9236,0.0810,0.9391,0.0812,0.9815,0.0137,4
corr_fs_backward,Logistic,0.9649,0.0457,0.0072,0.0164,0.6527,0.1275,0.9358,0.0814,0.9378,0.0825,0.9978,0.0019,4
corr_fs_backward,NaiveBayes,0.9526,0.0470,0.0955,0.0130,0.6583,0.1304,0.9143,0.0801,0.9413,0.0802,0.9673,0.0099,4
