"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","sum_tp","sum_fp","sum_tn","sum_fn"
"naive bayes","no","3","0.824635963911283","0.9092092484571026","0.8626364375057433","0.6391165437258363","0.024957689593901284","15726","666","244","1811"
"naive bayes","GreedyStepwise Backward + CFS","3","0.8271637002469162","0.9086348050337465","0.8636223336486443","0.6456190837738252","0.024440542767172793","15791","672","238","1746"
"IBK","GreedyStepwise Forward + CFS","3","0.9615598753832275","0.9203752140244607","0.9380325243078382","0.521776353060397","0.03245021303474289","16866","856","54","671"
"IBK","BestFirst + CFS","3","0.9657315884770238","0.9208152718423609","0.9399874819079264","0.4944713125720988","0.036221625608728866","16897","859","51","640"
"naive bayes","BestFirst + CFS","3","0.8271637002469162","0.9086348050337465","0.8636223336486443","0.6456190837738252","0.024440542767172793","15791","672","238","1746"
"random forest","GreedyStepwise Backward + CFS","3","0.9795551133838282","0.9204760043959563","0.9467335395452531","0.5946113425417471","0.011087133544773121","17175","881","29","362"
"naive bayes","GreedyStepwise Forward + CFS","3","0.9594473767372943","0.9230454069806296","0.9382557063690101","0.6474491704407488","0.07124267950654779","16774","818","92","763"
"random forest","GreedyStepwise Forward + CFS","3","0.9717499727567255","0.919959580843308","0.9432557618827938","0.5935897371998315","0.006388761737928667","17117","872","38","420"
"IBK","GreedyStepwise Backward + CFS","3","0.9657315884770238","0.9208152718423609","0.9399874819079264","0.4944713125720988","0.036221625608728866","16897","859","51","640"
"random forest","no","3","0.9837330015036542","0.92011425631515","0.948680251907267","0.5895269061663643","0.018322394412691487","17271","885","25","266"
"random forest","BestFirst + CFS","3","0.9795551133838282","0.9204760043959563","0.9467335395452531","0.5946113425417471","0.011087133544773121","17175","881","29","362"
"IBK","no","3","0.9596134954689762","0.9202369565493403","0.9364526389119218","0.4758366232156192","0.022896938607106825","16768","866","44","769"
