"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","sum_tp","sum_fp","sum_tn","sum_fn"
"naive bayes","no","4","0.8617653301458701","0.9302386131850816","0.8927614765272838","0.6714586322704685","0.03682045113718754","22722","713","255","2004"
"naive bayes","GreedyStepwise Backward + CFS","4","0.8655390013640716","0.929820474636237","0.8944618153351812","0.6779352034630884","0.04216199899363876","22841","719","249","1885"
"IBK","GreedyStepwise Forward + CFS","4","0.9702309720541824","0.9384105679462833","0.9521186313426454","0.5036812318474513","0.04553391102530306","24028","910","58","698"
"IBK","BestFirst + CFS","4","0.9733597568745296","0.9387406113097087","0.9535848495427115","0.48320245148122754","0.04836247045579254","24059","913","55","667"
"naive bayes","BestFirst + CFS","4","0.8655390013640716","0.929820474636237","0.8944618153351812","0.6779352034630884","0.04216199899363876","22841","719","249","1885"
"random forest","GreedyStepwise Backward + CFS","4","0.9842838061743296","0.9383874110371192","0.9588715634221123","0.6170307508997678","0.014789975478306372","24353","938","30","373"
"naive bayes","GreedyStepwise Forward + CFS","4","0.9647517587318551","0.9406284260963993","0.9504368448754555","0.6793077684632811","0.07726360154817001","23824","865","103","902"
"random forest","GreedyStepwise Forward + CFS","4","0.9784299507040026","0.938000093372633","0.9562632301752678","0.6162645468933311","0.011266196623173031","24295","929","39","431"
"IBK","GreedyStepwise Backward + CFS","4","0.9733597568745296","0.9387406113097087","0.9535848495427115","0.48320245148122754","0.04836247045579254","24059","913","55","667"
"random forest","no","4","0.9871042441031197","0.9380793272162988","0.960157525223458","0.6173224140010473","0.012711501607234069","24440","943","25","286"
"random forest","BestFirst + CFS","4","0.9842838061743296","0.9383874110371192","0.9588715634221123","0.6170307508997678","0.014789975478306372","24353","938","30","373"
"IBK","no","4","0.9684234336061834","0.9382010216150848","0.9507073080490616","0.47969921135960414","0.020820158620714777","23920","923","45","806"
