Release,MethodFullName
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::closeHandle
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::writeSameEntryBatch
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::writeSameEntry
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::getFreshEntryId
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::removeEntryId
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::closeHandle
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeSameEntryBatch
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeConsecutiveEntriesBatch
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeSameEntryBatchFS
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::addComplete
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::readComplete
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::run
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::shutdown
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::listJournalIds
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::instantiateZookeeperClient
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::registerBookie
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::newZookeeper
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::process
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::checkDirectoryLayoutVersion
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::createDirectoryLayoutVersionFile
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::fullRead
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::putHandle
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::getHandle
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::getHandle
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::createHandle
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::setLastLogMark
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::markLog
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::rollLog
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::readLog
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::run
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::openChannel
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::openChannel
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::shutdown
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::getLedgerForEntry
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::addEntryInternal
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::recoveryAddEntry
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::addEntry
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::fenceLedger
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::readEntry
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::writeComplete
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::incCount
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::waitZero
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::run
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept
