Release_Index,MethodName,LOC,Parameters_Count,Fan_Out,Cyclomatic_Complexity,LCOM,Churn,LOC_Added,Newcomer_Risk,n_Auth,Weekend_Commit,isBuggy
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::closeHandle,3,0,1,1,4,179,168,1.0,2,0,0,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::writeSameEntryBatch,14,2,5,2,4,172,171,1.0,2,0,3,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::writeSameEntry,11,2,4,2,4,172,171,1.0,2,0,2,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::getFreshEntryId,7,1,1,1,9,256,254,1.0,2,0,0,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::removeEntryId,14,1,5,3,9,264,258,1.0,2,0,3,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::closeHandle,3,0,1,1,9,254,253,1.0,1,0,0,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeSameEntryBatch,16,2,6,3,9,260,256,1.0,2,0,4,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeConsecutiveEntriesBatch,25,1,9,3,9,284,266,1.0,2,0,3,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeSameEntryBatchFS,16,2,7,2,9,276,262,1.0,2,0,2,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::addComplete,4,4,1,1,9,256,254,1.0,2,0,0,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::readComplete,11,4,6,2,9,264,259,1.0,2,0,2,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::run,68,0,18,8,24,625,611,1.0,3,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept,8,1,0,2,24,591,590,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::shutdown,9,0,3,2,24,633,616,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept,7,1,0,2,24,738,675,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::listJournalIds,21,2,8,4,24,578,569,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::instantiateZookeeperClient,10,1,3,2,24,562,558,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::registerBookie,17,1,4,2,24,557,556,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::newZookeeper,33,2,8,5,24,625,623,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::process,25,1,8,5,24,619,618,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::checkDirectoryLayoutVersion,42,1,8,3,24,629,625,1.0,3,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::createDirectoryLayoutVersionFile,15,1,3,2,24,549,547,1.0,2,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::fullRead,11,2,2,3,24,10,8,1.0,1,0,0,No
