@relation 'BOOKKEEPER_fullDataset-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M0.0-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
3,1,179,168,0,1,1,2,0,0,No
14,2,172,171,0,5,1,2,0,3,No
11,2,172,171,0,4,1,2,0,2,No
7,1,256,254,0,1,1,2,0,0,No
14,3,264,258,0,5,1,2,0,3,No
3,1,254,253,0,1,1,1,0,0,No
16,3,260,256,0,6,1,2,0,4,No
25,3,284,266,0,9,1,2,0,3,No
16,2,276,262,0,7,1,2,0,2,No
4,1,256,254,0,1,1,2,0,0,No
11,2,264,259,0,6,1,2,0,2,No
68,8,80,66,0,18,1,3,0,1,Yes
8,2,46,45,0,0,1,2,0,0,Yes
9,2,88,71,0,3,1,3,0,0,Yes
7,2,193,130,0,0,1,2,0,0,Yes
21,4,33,24,0,8,1,2,0,0,No
10,2,17,13,0,3,1,1,0,0,Yes
17,2,12,11,0,4,1,1,0,0,Yes
33,5,80,78,0,8,1,2,0,0,Yes
25,5,74,73,0,8,1,2,0,0,Yes
42,3,84,80,0,8,1,3,0,1,Yes
15,2,4,2,0,3,1,1,0,1,Yes
11,3,10,8,0,2,1,1,0,0,No
5,1,10,8,0,1,1,1,0,0,No
33,5,14,10,0,11,1,1,0,1,No
30,4,28,28,0,9,1,1,0,1,No
3,1,14,14,0,0,1,1,0,1,No
4,1,44,32,0,0,1,1,0,0,No
3,1,44,32,0,0,1,1,0,0,No
23,2,46,33,0,9,1,1,0,1,No
23,3,10,10,0,6,1,1,0,1,No
77,11,85,72,0,20,1,2,0,1,Yes
3,1,0,0,0,1,0,0,0,0,No
11,1,0,0,0,4,0,0,0,0,No
19,3,2,2,0,5,1,1,0,0,Yes
11,2,0,0,0,6,0,0,0,0,No
12,2,0,0,0,6,0,0,0,0,No
11,1,0,0,0,3,0,0,0,0,No
15,2,0,0,0,5,0,0,0,0,No
6,1,0,0,0,2,0,0,0,0,No
11,2,0,0,0,5,0,0,0,0,No
6,2,2,1,0,1,1,1,0,0,No
3,1,0,0,0,0,0,0,0,0,No
5,2,0,0,0,1,0,0,0,0,No
68,8,80,66,0,18,1,3,0,1,No
8,2,46,45,0,0,1,2,0,0,No
9,2,88,71,0,3,1,3,0,0,No
4,1,44,32,0,0,1,1,0,0,No
3,1,44,32,0,0,1,1,0,0,No
23,2,46,33,0,9,1,1,0,1,No
23,3,10,10,0,6,1,1,0,1,No
6,2,2,1,0,1,1,1,0,0,No
3,1,0,0,0,0,0,0,0,0,No
5,2,0,0,0,1,0,0,0,0,No
10,4,10,6,0,0,1,2,0,0,No
12,5,8,5,0,0,1,2,0,0,Yes
24,5,8,4,0,8,1,1,0,1,No
3,1,0,0,3,0,0,0,0,0,No
3,1,0,0,1,1,0,0,0,0,No
14,3,0,0,0,5,0,0,0,0,No
59,16,7,5,0,9,1,2,1,1,No
24,5,64,49,0,6,1,1,0,0,No
13,1,60,47,0,3,1,2,0,0,No
8,1,58,46,0,2,1,1,0,0,No
36,4,158,63,0,12,1,2,0,3,No
17,2,11,10,0,11,1,1,0,0,Yes
14,1,3,1,0,4,1,1,0,1,No
22,1,0,0,0,3,0,0,0,1,Yes
3,1,2,1,0,1,1,1,0,0,Yes
5,2,0,0,2,1,0,0,0,0,No
14,2,0,0,0,7,0,0,0,0,Yes
42,6,8,4,0,12,1,2,0,2,No
21,3,2,1,1,7,1,1,0,0,Yes
9,2,4,2,1,2,1,1,0,0,No
7,1,0,0,0,0,0,0,0,0,No
64,8,61,33,0,15,1,2,0,6,No
12,1,2,1,0,4,1,1,0,0,No
24,5,64,49,0,6,1,1,0,0,No
13,1,60,47,0,3,1,2,0,0,No
8,1,58,46,0,2,1,1,0,0,No
36,4,158,63,0,12,1,2,0,3,No
15,3,49,49,0,6,1,1,0,0,No
19,4,55,52,0,5,1,2,0,0,No
7,2,0,0,1,0,0,0,0,0,No
3,1,4,4,0,1,1,1,0,0,No
13,3,4,3,0,2,1,1,0,1,No
6,2,0,0,0,1,0,0,0,0,Yes
19,4,0,0,0,3,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
10,3,0,0,0,2,0,0,0,0,No
8,2,4,2,0,4,1,1,0,3,No
7,2,2,1,0,1,1,1,0,3,No
13,4,0,0,0,3,0,0,0,0,No
20,3,6,3,0,6,1,2,0,0,No
22,3,6,3,0,6,1,2,0,0,Yes
12,1,2,1,0,3,1,1,0,0,No
9,3,0,0,0,3,0,0,0,0,No
3,1,0,0,0,1,0,0,0,1,No
40,8,4,2,0,15,1,1,0,0,No
19,4,0,0,0,8,0,0,0,0,No
100,19,11,6,0,25,1,2,0,6,Yes
4,1,0,0,0,1,0,0,0,0,Yes
30,8,6,3,0,9,1,2,0,0,No
56,11,8,4,0,20,1,2,0,0,No
22,4,4,2,0,6,1,2,0,0,No
24,5,7,2,0,9,1,2,0,0,No
29,2,4,2,0,8,1,1,0,0,No
3,1,2,1,0,1,1,1,0,0,No
3,1,0,0,0,0,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
3,1,11,10,0,0,1,2,0,0,No
21,2,1,1,0,4,1,1,0,0,No
44,9,8,4,0,13,1,2,0,1,No
2,1,0,0,0,0,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
6,2,0,0,0,0,0,0,0,0,No
5,2,0,0,5,0,0,0,0,0,No
6,1,0,0,0,2,0,0,0,0,No
4,1,0,0,1,2,0,0,0,0,No
6,1,0,0,0,4,0,0,0,0,No
10,3,0,0,0,7,0,0,0,0,No
5,1,0,0,0,2,0,0,0,0,No
6,2,4,2,0,0,1,1,0,0,No
3,1,0,0,0,0,0,0,0,0,No
8,3,2,1,0,1,1,1,0,0,No
5,1,0,0,0,0,0,0,0,0,No
