feature_i	feature_j	mean_rho	std	min	max	n_iters
Churn	LocAdded	0.994054	0.005941	0.984418	0.999170	4
CyclomaticComplexity	LOC	0.820827	0.003135	0.815851	0.824471	4
LOC	fan-out	0.687067	0.014655	0.667807	0.702470	4
Auth	Churn	0.644962	0.179405	0.424462	0.903725	4
Auth	LocAdded	0.641074	0.181263	0.416779	0.901873	4
Auth	NewcomerRisk	0.600085	0.189789	0.278309	0.763201	4
CyclomaticComplexity	fan-out	0.568479	0.003840	0.563896	0.574250	4
fan-out	nSmell	0.313857	0.116728	0.168366	0.433317	4
CyclomaticComplexity	nSmell	0.294359	0.068704	0.206811	0.367208	4
LOC	nSmell	0.280755	0.101108	0.153968	0.388008	4
Churn	NewcomerRisk	0.271569	0.252648	-0.083153	0.622204	4
LocAdded	NewcomerRisk	0.268757	0.255034	-0.091492	0.620884	4
Churn	nSmell	-0.169563	0.068806	-0.241929	-0.081741	4
LocAdded	nSmell	-0.167875	0.066678	-0.240077	-0.081992	4
Churn	fan-out	-0.148991	0.073909	-0.229404	-0.051167	4
LocAdded	fan-out	-0.147176	0.071004	-0.228486	-0.052521	4
LOC	LocAdded	-0.142768	0.068070	-0.230857	-0.052998	4
Churn	LOC	-0.142595	0.069177	-0.228520	-0.051306	4
Churn	fan-in	-0.137770	0.049558	-0.191345	-0.064446	4
LocAdded	fan-in	-0.137739	0.049348	-0.191212	-0.064799	4
WeekendCommit	nSmell	0.113767	0.030297	0.087912	0.162200	4
LOC	WeekendCommit	0.090425	0.022340	0.057184	0.114855	4
WeekendCommit	fan-out	0.085903	0.023654	0.049731	0.111420	4
Auth	fan-in	-0.075300	0.038069	-0.128994	-0.027215	4
CyclomaticComplexity	WeekendCommit	0.071340	0.013270	0.058774	0.090891	4
Auth	CyclomaticComplexity	0.069554	0.027291	0.045634	0.115305	4
LOC	NewcomerRisk	0.069386	0.050281	-0.013248	0.110216	4
Churn	CyclomaticComplexity	-0.068785	0.045743	-0.123209	-0.009014	4
CyclomaticComplexity	LocAdded	-0.068179	0.044209	-0.125590	-0.010524	4
NewcomerRisk	WeekendCommit	0.066739	0.036135	0.004305	0.090450	4
CyclomaticComplexity	NewcomerRisk	0.066393	0.015817	0.041586	0.081201	4
NewcomerRisk	nSmell	0.063365	0.036957	0.017049	0.104497	4
Auth	WeekendCommit	0.056884	0.017165	0.031041	0.078291	4
LOC	fan-in	0.050269	0.009380	0.038186	0.061198	4
fan-in	fan-out	0.046847	0.005912	0.039290	0.052757	4
Auth	LOC	0.045915	0.024800	0.021648	0.084582	4
NewcomerRisk	fan-out	0.043612	0.040079	-0.021493	0.084090	4
CyclomaticComplexity	fan-in	0.040126	0.008829	0.028685	0.049411	4
WeekendCommit	fan-in	0.038057	0.015500	0.014711	0.057410	4
LocAdded	WeekendCommit	-0.037299	0.042449	-0.100151	0.019367	4
Churn	WeekendCommit	-0.036933	0.042894	-0.100537	0.020195	4
Auth	fan-out	0.026244	0.017861	0.002703	0.052189	4
NewcomerRisk	fan-in	0.019348	0.011100	0.005806	0.035265	4
Auth	nSmell	-0.012120	0.010568	-0.025366	0.000064	4
fan-in	nSmell	0.006166	0.006778	-0.000719	0.015636	4
