feature	mean_rho	std	min	max	n_iters
CyclomaticComplexity	-0.127543	0.022249	-0.162192	-0.105650	4
LOC	-0.114503	0.013109	-0.129249	-0.096126	4
fan-out	-0.084197	0.012477	-0.104061	-0.070004	4
 nSmell	-0.078079	0.043714	-0.149931	-0.042354	4
Churn	-0.056478	0.134607	-0.183028	0.163823	4
LocAdded	-0.056095	0.134765	-0.181983	0.164890	4
fan-in	-0.046002	0.057220	-0.126117	0.035671	4
Auth	-0.034904	0.076839	-0.146941	0.037356	4
 NewcomerRisk	0.026250	0.053093	-0.047039	0.102607	4
WeekendCommit	-0.020924	0.017862	-0.039961	0.006099	4
