"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","1","0.5301","0.7473","0.6202","0.4247","-0.1162","0.4840","1313","444","195","1164","0.2200","0.0250"
"naive bayes","GreedyStepwise Backward + CFS","1","0.5256","0.7457","0.6166","0.4231","-0.1188","0.4804","1302","444","195","1175","0.0460","0.0000"
"IBK","GreedyStepwise Forward + CFS","1","0.9778","0.7949","0.8769","0.4081","-0.0004","0.7818","2422","625","14","55","NaN","NaN"
"IBK","BestFirst + CFS","1","0.9693","0.7942","0.8731","0.4119","-0.0060","0.7760","2401","622","17","76","0.1308","0.0000"
"naive bayes","BestFirst + CFS","1","0.5256","0.7457","0.6166","0.4231","-0.1188","0.4804","1302","444","195","1175","0.0460","0.0000"
"random forest","GreedyStepwise Backward + CFS","1","0.9875","0.7949","0.8808","0.4280","0.0000","0.7875","2446","631","8","31","0.1029","0.0000"
"naive bayes","GreedyStepwise Forward + CFS","1","0.9455","0.8007","0.8671","0.4323","0.0448","0.7696","2342","583","56","135","NaN","NaN"
"random forest","GreedyStepwise Forward + CFS","1","0.9750","0.7949","0.8758","0.4385","0.0000","0.7802","2415","623","16","62","NaN","NaN"
"IBK","GreedyStepwise Backward + CFS","1","0.9693","0.7942","0.8731","0.4119","-0.0060","0.7760","2401","622","17","76","0.1308","0.0000"
"random forest","no","1","0.9907","0.7942","0.8816","0.4769","-0.0071","0.7885","2454","636","3","23","0.3266","0.1583"
"random forest","BestFirst + CFS","1","0.9875","0.7949","0.8808","0.4280","0.0000","0.7875","2446","631","8","31","0.1029","0.0000"
"IBK","no","1","0.9689","0.7926","0.8719","0.4523","-0.0204","0.7737","2400","628","11","77","0.3464","0.1830"
