"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","1","0.5632","0.7536","0.6446","0.4248","-0.1103","1395","456","183","1082","0.2200","0.0250"
"naive bayes","GreedyStepwise Backward + CFS","1","0.5745","0.7553","0.6526","0.4233","-0.1093","1423","461","178","1054","0.2200","0.0250"
"IBK","GreedyStepwise Forward + CFS","1","0.9649","0.7935","0.8708","0.5026","-0.0124","2390","622","17","87","NaN","NaN"
"IBK","BestFirst + CFS","1","0.9774","0.7948","0.8767","0.4207","-0.0010","2421","625","14","56","0.3387","0.1734"
"naive bayes","BestFirst + CFS","1","0.5745","0.7553","0.6526","0.4233","-0.1093","1423","461","178","1054","0.2200","0.0250"
"random forest","GreedyStepwise Backward + CFS","1","0.9830","0.7965","0.8800","0.4728","0.0145","2435","622","17","42","0.2261","0.0326"
"naive bayes","GreedyStepwise Forward + CFS","1","0.9713","0.7985","0.8765","0.4288","0.0311","2406","607","32","71","NaN","NaN"
"random forest","GreedyStepwise Forward + CFS","1","0.9596","0.7950","0.8696","0.4698","0.0005","2377","613","26","100","NaN","NaN"
"IBK","GreedyStepwise Backward + CFS","1","0.9774","0.7948","0.8767","0.4207","-0.0010","2421","625","14","56","0.3387","0.1734"
"random forest","no","1","0.9843","0.7965","0.8805","0.4603","0.0141","2438","623","16","39","0.2438","0.0548"
"random forest","BestFirst + CFS","1","0.9830","0.7965","0.8800","0.4728","0.0145","2435","622","17","42","0.2261","0.0326"
"IBK","no","1","0.9273","0.7937","0.8553","0.4646","-0.0092","2297","597","42","180","0.3048","0.1310"
