classifier,feature_selection,iterations,avg_recall,avg_precision,avg_f1,avg_auc,avg_kappa,avg_accuracy,sum_tp,sum_fp,sum_tn,sum_fn,avg_pofb20,avg_npofb20
IBK,BestFirst + CFS,3,0.9567,0.8671,0.9063,0.4837,0.01,0.8325,28057,2241,107,1482,0.172,0.0419
IBK,GreedyStepwise Backward + CFS,3,0.9567,0.8671,0.9063,0.4837,0.01,0.8325,28057,2241,107,1482,0.172,0.0419
IBK,GreedyStepwise Forward + CFS,3,0.962,0.8675,0.9086,0.4814,0.0134,0.8361,28120,2250,98,1419,0.2474,0.1131
IBK,no,3,0.9513,0.8663,0.903,0.5064,0.0034,0.8263,27744,2243,105,1795,0.3191,0.1489
naive bayes,BestFirst + CFS,3,0.6902,0.8384,0.7525,0.5446,-0.0394,0.6572,24970,1667,681,4569,0.2239,0.1475
naive bayes,GreedyStepwise Backward + CFS,3,0.6902,0.8384,0.7525,0.5446,-0.0394,0.6572,24970,1667,681,4569,0.2239,0.1475
naive bayes,GreedyStepwise Forward + CFS,3,0.9468,0.872,0.9056,0.5502,0.0605,0.8339,28090,2084,264,1449,0.488,0.3601
naive bayes,no,3,0.6872,0.8398,0.752,0.5484,-0.0312,0.6543,24635,1634,714,4904,0.2844,0.1055
random forest,BestFirst + CFS,3,0.9846,0.8673,0.9196,0.5318,0.0152,0.8554,29034,2298,50,505,0.162,0.0521
random forest,GreedyStepwise Backward + CFS,3,0.9846,0.8673,0.9196,0.5318,0.0152,0.8554,29034,2298,50,505,0.162,0.0521
random forest,GreedyStepwise Forward + CFS,3,0.977,0.8673,0.9166,0.5382,0.0152,0.8509,28941,2274,74,598,0.2668,0.1406
random forest,no,3,0.9889,0.8667,0.9212,0.552,0.0056,0.8580,29174,2323,25,365,0.322,0.1526
