@relation 'BOOKKEEPER_training_iter_1-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommitRatio numeric
@attribute ' nSmell' numeric
@attribute ' isBuggy' {No,Yes}

@data
3,1,179,168,1,2,0,0,No
14,2,172,171,1,2,0,3,No
11,2,172,171,1,2,0,2,No
7,1,256,254,1,2,0,0,No
14,3,264,258,1,2,0,3,No
3,1,254,253,1,1,0,0,No
16,3,260,256,1,2,0,4,No
25,3,284,266,1,2,0,3,No
16,2,276,262,1,2,0,2,No
4,1,256,254,1,2,0,0,No
11,2,264,259,1,2,0,2,No
68,8,625,611,1,3,0,1,Yes
8,2,591,590,1,2,0,0,Yes
9,2,633,616,1,3,0,0,Yes
7,2,738,675,1,2,0,0,Yes
21,4,578,569,1,3,0,0,No
10,2,562,558,1,2,0,0,Yes
17,2,557,556,1,2,0,0,No
33,5,625,623,1,2,0,0,Yes
25,5,619,618,1,2,0,0,Yes
42,3,629,625,1,3,0,1,Yes
15,2,549,547,1,2,0,1,Yes
11,3,10,8,1,1,0,0,No
5,1,10,8,1,1,0,0,No
33,5,14,10,1,1,0,1,No
30,4,28,28,1,1,0,1,No
3,1,14,14,1,1,0,1,No
4,1,44,32,1,1,0,0,No
3,1,44,32,1,1,0,0,No
23,2,46,33,1,1,0,1,No
23,3,10,10,1,1,0,1,No
77,11,85,72,1,2,0,1,Yes
3,1,0,0,0,0,0,0,No
11,1,0,0,0,0,0,0,No
19,3,2,2,1,1,0,0,Yes
11,2,0,0,0,0,0,0,No
12,2,0,0,0,0,0,0,No
11,1,0,0,0,0,0,0,No
15,2,0,0,0,0,0,0,No
6,1,0,0,0,0,0,0,No
11,2,0,0,0,0,0,0,No
6,2,2,1,1,1,0,0,No
3,1,0,0,0,0,0,0,No
5,2,0,0,0,0,0,0,No
68,8,625,611,1,3,0,1,No
8,2,591,590,1,2,0,0,No
9,2,633,616,1,3,0,0,No
4,1,44,32,1,1,0,0,No
3,1,44,32,1,1,0,0,No
23,2,46,33,1,1,0,1,No
23,3,10,10,1,1,0,1,No
6,2,2,1,1,1,0,0,No
3,1,0,0,0,0,0,0,No
5,2,0,0,0,0,0,0,No
10,4,91,87,1,3,0,0,No
12,5,89,86,1,3,0,0,Yes
24,5,176,172,1,2,0,1,No
3,1,168,168,1,1,0,0,No
3,1,168,168,1,1,0,0,No
14,3,168,168,1,1,0,0,No
59,16,175,173,1,2,0.333333,1,No
24,5,551,536,1,2,0,0,No
13,1,547,534,1,3,0,0,No
8,1,545,533,1,2,0,0,No
36,4,645,550,1,3,0,3,No
17,2,498,497,1,2,0,0,Yes
14,1,490,488,1,2,0,1,No
22,1,487,487,1,1,0,1,Yes
3,1,489,488,1,2,0,0,Yes
5,2,487,487,1,1,0,0,No
14,2,487,487,1,1,0,0,Yes
42,6,495,491,1,3,0,2,No
21,3,489,488,1,2,0,0,Yes
9,2,491,489,1,2,0,0,No
7,1,487,487,1,1,0,0,No
64,8,548,520,1,3,0,6,No
12,1,489,488,1,2,0,0,No
24,5,551,536,1,2,0,0,No
13,1,547,534,1,3,0,0,No
8,1,545,533,1,2,0,0,No
36,4,645,550,1,3,0,3,No
15,3,173,173,1,2,0,0,No
19,4,179,176,1,3,0,0,No
7,2,0,0,0,0,0,0,No
3,1,4,4,1,1,0,0,No
13,3,4,3,1,1,0,1,No
6,2,0,0,0,0,0,0,Yes
19,4,0,0,0,0,0,0,No
3,1,0,0,0,0,0,0,No
10,3,0,0,0,0,0,0,No
8,2,540,538,1,2,0,3,No
7,2,538,537,1,2,0,3,No
13,4,536,536,1,1,0,0,No
20,3,542,539,1,3,0,0,No
22,3,542,539,1,3,0,0,Yes
12,1,538,537,1,2,0,0,No
9,3,536,536,1,1,0,0,No
3,1,536,536,1,1,0,1,No
40,8,540,538,1,2,0,0,No
19,4,536,536,1,1,0,0,No
100,19,547,542,1,3,0,6,Yes
4,1,536,536,1,1,0,0,Yes
30,8,542,539,1,3,0,0,No
56,11,544,540,1,3,0,0,No
22,4,540,538,1,3,0,0,No
24,5,543,538,1,3,0,0,No
29,2,540,538,1,2,0,0,No
3,1,135,134,1,2,0,0,No
3,1,133,133,1,1,0,0,No
3,1,133,133,1,1,0,0,No
3,1,144,143,1,3,0,0,No
21,2,134,134,1,2,0,0,No
44,9,141,137,1,3,0,1,No
2,1,0,0,0,0,0,0,No
3,1,151,151,1,1,0,0,No
3,1,151,151,1,1,0,0,No
3,1,151,151,1,1,0,0,No
6,2,151,151,1,1,0,0,No
5,2,151,151,1,1,0,0,No
6,1,151,151,1,1,0,0,No
4,1,151,151,1,1,0,0,No
6,1,151,151,1,1,0,0,No
10,3,151,151,1,1,0,0,No
5,1,151,151,1,1,0,0,No
6,2,155,153,1,2,0,0,No
3,1,151,151,1,1,0,0,No
8,3,153,152,1,2,0,0,No
5,1,147,147,1,1,0,0,No
6,1,147,147,1,1,0,0,No
6,1,147,147,1,1,0,0,No
5,1,147,147,1,1,0,0,No
5,1,147,147,1,1,0,0,No
5,1,147,147,1,1,0,0,No
5,1,147,147,1,1,0,0,No
6,1,147,147,1,1,0,0,No
5,1,147,147,1,1,0,0,No
6,1,147,147,1,1,0,0,No
6,1,147,147,1,1,0,0,No
5,1,147,147,1,1,0,0,No
6,1,147,147,1,1,0,0,No
5,1,147,147,1,1,0,0,No
5,1,147,147,1,1,0,0,No
6,1,147,147,1,1,0,0,No
5,1,147,147,1,1,0,0,No
40,19,253,253,1,2,0,0,No
42,20,253,253,1,2,0,0,No
7,2,461,448,1,2,0,0,Yes
7,1,450,447,1,3,0,0,Yes
4,1,461,459,1,3,0,0,No
22,2,674,647,1,3,0,1,No
4,1,612,609,1,2,0,0,Yes
4,1,613,610,1,3,0,0,Yes
19,2,661,644,1,3,0,0,No
20,2,262,259,1,2,0,0,No
3,1,262,259,1,2,0,0,Yes
12,2,262,259,1,2,0,1,No
13,3,61,61,1,1,0,0,No
6,1,0,0,0,0,0,0,No
9,1,0,0,0,0,0,1,No
5,1,0,0,0,0,0,0,No
6,1,0,0,0,0,0,0,No
9,1,0,0,0,0,0,1,No
5,1,0,0,0,0,0,0,No
6,2,738,737,1,1,0,0,No
4,1,714,714,1,1,0,0,No
3,1,714,714,1,1,0,1,No
3,1,714,714,1,1,0,1,No
27,3,717,716,1,2,0,1,No
10,1,714,714,1,1,0,1,No
15,2,718,716,1,1,0,1,No
9,2,714,714,1,1,0,1,No
32,4,714,714,1,1,0,2,No
20,3,714,714,1,1,0,2,No
27,1,764,736,1,1,0,1,No
4,1,731,730,1,1,0,0,No
