@relation 'BOOKKEEPER_training_iter_2-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
3,1,179,168,0,1,1,2,0,0,No
14,2,172,171,0,5,1,2,0,3,No
11,2,172,171,0,4,1,2,0,2,No
7,1,256,254,0,1,1,2,0,0,No
14,3,264,258,0,5,1,2,0,3,No
3,1,254,253,0,1,1,1,0,0,No
16,3,260,256,0,6,1,2,0,4,No
25,3,284,266,0,9,1,2,0,3,No
16,2,276,262,0,7,1,2,0,2,No
4,1,256,254,0,1,1,2,0,0,No
11,2,264,259,0,6,1,2,0,2,No
68,8,625,611,0,18,1,3,0,1,Yes
8,2,591,590,0,0,1,2,0,0,Yes
9,2,633,616,0,3,1,3,0,0,Yes
7,2,738,675,0,0,1,2,0,0,Yes
21,4,578,569,0,8,1,3,0,0,No
10,2,562,558,0,3,1,2,0,0,Yes
17,2,557,556,0,4,1,2,0,0,Yes
33,5,625,623,0,8,1,2,0,0,Yes
25,5,619,618,0,8,1,2,0,0,Yes
42,3,629,625,0,8,1,3,0,1,Yes
15,2,549,547,0,3,1,2,0,1,Yes
11,3,10,8,0,2,1,1,0,0,No
5,1,10,8,0,1,1,1,0,0,No
33,5,14,10,0,11,1,1,0,1,No
30,4,28,28,0,9,1,1,0,1,No
3,1,14,14,0,0,1,1,0,1,No
4,1,44,32,0,0,1,1,0,0,No
3,1,44,32,0,0,1,1,0,0,No
23,2,46,33,0,9,1,1,0,1,No
23,3,10,10,0,6,1,1,0,1,No
77,11,85,72,0,20,1,2,0,1,Yes
3,1,0,0,0,1,0,0,0,0,No
11,1,0,0,0,4,0,0,0,0,No
19,3,2,2,0,5,1,1,0,0,Yes
11,2,0,0,0,6,0,0,0,0,No
12,2,0,0,0,6,0,0,0,0,No
11,1,0,0,0,3,0,0,0,0,No
15,2,0,0,0,5,0,0,0,0,No
6,1,0,0,0,2,0,0,0,0,No
11,2,0,0,0,5,0,0,0,0,No
6,2,2,1,0,1,1,1,0,0,No
3,1,0,0,0,0,0,0,0,0,No
5,2,0,0,0,1,0,0,0,0,No
68,8,625,611,0,18,1,3,0,1,No
8,2,591,590,0,0,1,2,0,0,No
9,2,633,616,0,3,1,3,0,0,No
4,1,44,32,0,0,1,1,0,0,No
3,1,44,32,0,0,1,1,0,0,No
23,2,46,33,0,9,1,1,0,1,No
23,3,10,10,0,6,1,1,0,1,No
6,2,2,1,0,1,1,1,0,0,No
3,1,0,0,0,0,0,0,0,0,No
5,2,0,0,0,1,0,0,0,0,No
10,4,91,87,0,0,1,3,0,0,No
12,5,89,86,0,0,1,3,0,0,Yes
24,5,176,172,0,8,1,2,0,1,No
3,1,168,168,3,0,1,1,0,0,No
3,1,168,168,1,1,1,1,0,0,No
14,3,168,168,0,5,1,1,0,0,No
59,16,175,173,0,9,1,2,1,1,No
24,5,551,536,0,6,1,2,0,0,No
13,1,547,534,0,3,1,3,0,0,No
8,1,545,533,0,2,1,2,0,0,No
36,4,645,550,0,12,1,3,0,3,No
17,2,498,497,0,11,1,2,0,0,Yes
14,1,490,488,0,4,1,2,0,1,No
22,1,487,487,0,3,1,1,0,1,Yes
3,1,489,488,0,1,1,2,0,0,Yes
5,2,487,487,2,1,1,1,0,0,No
14,2,487,487,0,7,1,1,0,0,Yes
42,6,495,491,0,12,1,3,0,2,No
21,3,489,488,1,7,1,2,0,0,Yes
9,2,491,489,1,2,1,2,0,0,No
7,1,487,487,0,0,1,1,0,0,No
64,8,548,520,0,15,1,3,0,6,No
12,1,489,488,0,4,1,2,0,0,No
24,5,551,536,0,6,1,2,0,0,No
13,1,547,534,0,3,1,3,0,0,No
8,1,545,533,0,2,1,2,0,0,No
36,4,645,550,0,12,1,3,0,3,No
15,3,173,173,0,6,1,2,0,0,No
19,4,179,176,0,5,1,3,0,0,No
7,2,0,0,1,0,0,0,0,0,No
3,1,4,4,0,1,1,1,0,0,No
13,3,4,3,0,2,1,1,0,1,No
6,2,0,0,0,1,0,0,0,0,Yes
19,4,0,0,0,3,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
10,3,0,0,0,2,0,0,0,0,No
8,2,540,538,0,4,1,2,0,3,No
7,2,538,537,0,1,1,2,0,3,No
13,4,536,536,0,3,1,1,0,0,No
20,3,542,539,0,6,1,3,0,0,No
22,3,542,539,0,6,1,3,0,0,Yes
12,1,538,537,0,3,1,2,0,0,No
9,3,536,536,0,3,1,1,0,0,No
3,1,536,536,0,1,1,1,0,1,No
40,8,540,538,0,15,1,2,0,0,No
19,4,536,536,0,8,1,1,0,0,No
100,19,547,542,0,25,1,3,0,6,Yes
4,1,536,536,0,1,1,1,0,0,Yes
30,8,542,539,0,9,1,3,0,0,No
56,11,544,540,0,20,1,3,0,0,No
22,4,540,538,0,6,1,3,0,0,No
24,5,543,538,0,9,1,3,0,0,No
29,2,540,538,0,8,1,2,0,0,No
3,1,135,134,0,1,1,2,0,0,No
3,1,133,133,0,0,1,1,0,0,No
3,1,133,133,0,0,1,1,0,0,No
3,1,144,143,0,0,1,3,0,0,No
21,2,134,134,0,4,1,2,0,0,No
44,9,141,137,0,13,1,3,0,1,No
2,1,0,0,0,0,0,0,0,0,No
3,1,151,151,0,0,1,1,0,0,No
3,1,151,151,0,0,1,1,0,0,No
3,1,151,151,0,0,1,1,0,0,No
6,2,151,151,0,0,1,1,0,0,No
5,2,151,151,5,0,1,1,0,0,No
6,1,151,151,0,2,1,1,0,0,No
4,1,151,151,1,2,1,1,0,0,No
6,1,151,151,0,4,1,1,0,0,No
10,3,151,151,0,7,1,1,0,0,No
5,1,151,151,0,2,1,1,0,0,No
6,2,155,153,0,0,1,2,0,0,No
3,1,151,151,0,0,1,1,0,0,No
8,3,153,152,0,1,1,2,0,0,No
5,1,147,147,0,0,1,1,0,0,No
6,1,147,147,0,0,1,1,0,0,No
6,1,147,147,0,0,1,1,0,0,No
