Index,MethodName,LOC,CyclomaticComplexity,Churn,LocAdded,NewcomerRisk,Auth,WeekendCommitRatio, nSmell, isBuggy
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::closeHandle",3,1,179,168,1.0,2,0.0,0,No
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::writeSameEntryBatch",14,2,172,171,1.0,2,0.0,3,No
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java::writeSameEntry",11,2,172,171,1.0,2,0.0,2,No
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::getFreshEntryId",7,1,256,254,1.0,2,0.0,0,No
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::removeEntryId",14,3,264,258,1.0,2,0.0,3,No
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::closeHandle",3,1,254,253,1.0,1,0.0,0,No
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeSameEntryBatch",16,3,260,256,1.0,2,0.0,4,No
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeConsecutiveEntriesBatch",25,3,284,266,1.0,2,0.0,3,No
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::writeSameEntryBatchFS",16,2,276,262,1.0,2,0.0,2,No
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::addComplete",4,1,256,254,1.0,2,0.0,0,No
1,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java::readComplete",11,2,264,259,1.0,2,0.0,2,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::run",68,8,625,611,1.0,3,0.0,1,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept",8,2,591,590,1.0,2,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::shutdown",9,2,633,616,1.0,3,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::accept",7,2,738,675,1.0,2,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::listJournalIds",21,4,578,569,1.0,3,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::instantiateZookeeperClient",10,2,562,558,1.0,2,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::registerBookie",17,2,557,556,1.0,2,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::newZookeeper",33,5,625,623,1.0,2,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::process",25,5,619,618,1.0,2,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::checkDirectoryLayoutVersion",42,3,629,625,1.0,3,0.0,1,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::createDirectoryLayoutVersionFile",15,2,549,547,1.0,2,0.0,1,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::fullRead",11,3,10,8,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::putHandle",5,1,10,8,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::getHandle",33,5,14,10,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::getHandle",30,4,28,28,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::createHandle",3,1,14,14,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::setLastLogMark",4,1,44,32,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::markLog",3,1,44,32,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java::rollLog",23,2,46,33,1.0,1,0.0,1,No
