"Key","Injected Version","Opening Version","Fixed Version","Affected Version List"
"OPENJPA-42","0.9.0","0.9.6","0.9.6","0.9.0"
"OPENJPA-58","0.9.0","0.9.6","0.9.6","0.9.0"
"OPENJPA-59","0.9.0","0.9.6","0.9.6","0.9.0"
"OPENJPA-67","0.9.0","0.9.6","0.9.6","0.9.0"
"OPENJPA-68","0.9.0","0.9.6","0.9.6","0.9.0"
"OPENJPA-70","0.9.0","0.9.6","0.9.6","0.9.0"
"OPENJPA-74","0.9.0","0.9.6","0.9.6","0.9.0"
"OPENJPA-73","0.9.0","0.9.6","0.9.6","0.9.0"
"OPENJPA-76","0.9.0","0.9.6","0.9.6","0.9.0"
"OPENJPA-90","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-77","0.9.0","0.9.6","0.9.7","0.9.0 0.9.6"
"OPENJPA-100","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-104","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-102","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-103","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-107","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-109","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-116","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-118","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-122","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-115","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-119","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-98","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-60","0.9.0","0.9.6","0.9.7","0.9.0 0.9.6"
"OPENJPA-133","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-140","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-144","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-154","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-155","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-146","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-150","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-157","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-139","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-110","0.9.0","0.9.7","0.9.7","0.9.0 0.9.6"
"OPENJPA-62","0.9.0","0.9.6","0.9.7","0.9.0 0.9.6"
