feature_i	feature_j	mean_rho	std	min	max	n_iters
Churn	LocAdded	0.994509	0.001151	0.992131	0.996585	13
Auth	NewcomerRisk	0.966036	0.067392	0.733249	0.989003	13
Churn	NewcomerRisk	0.937577	0.136132	0.469986	0.986356	13
LocAdded	NewcomerRisk	0.930480	0.135061	0.466508	0.979351	13
Auth	Churn	0.929352	0.176281	0.324907	0.995103	13
Auth	LocAdded	0.922626	0.173883	0.326362	0.987326	13
LOC	fan-out	0.799764	0.000835	0.798664	0.801437	13
CyclomaticComplexity	LOC	0.798649	0.002787	0.793364	0.801637	13
CyclomaticComplexity	fan-out	0.660231	0.001930	0.657286	0.662309	13
Auth	WeekendCommit	0.372048	0.011899	0.344924	0.386617	13
NewcomerRisk	WeekendCommit	0.335975	0.060868	0.133010	0.368892	13
CyclomaticComplexity	nSmell	0.246330	0.005039	0.240500	0.253255	13
Churn	WeekendCommit	0.240424	0.193659	-0.399378	0.339643	13
LocAdded	WeekendCommit	0.231501	0.190974	-0.397914	0.330875	13
LOC	nSmell	0.190828	0.003398	0.185176	0.195150	13
fan-out	nSmell	0.180880	0.004734	0.175888	0.189860	13
fan-in	nSmell	0.167191	0.004542	0.160875	0.173326	13
Auth	LOC	0.109421	0.044313	0.080428	0.254918	13
Auth	fan-out	0.099900	0.031677	0.075250	0.201843	13
LOC	NewcomerRisk	0.097519	0.041016	0.072173	0.235157	13
LOC	LocAdded	0.093126	0.027818	0.073380	0.183649	13
Churn	LOC	0.091903	0.026325	0.072723	0.177157	13
NewcomerRisk	fan-out	0.086005	0.023740	0.066596	0.163529	13
LocAdded	fan-out	0.085992	0.021758	0.067919	0.156589	13
Churn	fan-out	0.085478	0.020773	0.067952	0.152821	13
Auth	CyclomaticComplexity	0.085365	0.026909	0.067376	0.172758	13
LOC	WeekendCommit	0.082786	0.023402	0.060921	0.144602	13
CyclomaticComplexity	NewcomerRisk	0.077017	0.030393	0.059624	0.179369	13
CyclomaticComplexity	LocAdded	0.073054	0.018825	0.059816	0.135044	13
Churn	CyclomaticComplexity	0.072523	0.017656	0.059936	0.130444	13
CyclomaticComplexity	WeekendCommit	0.069804	0.016535	0.053662	0.111305	13
WeekendCommit	fan-out	0.064105	0.014790	0.048383	0.100681	13
WeekendCommit	nSmell	0.039813	0.012076	0.027418	0.073854	13
CyclomaticComplexity	fan-in	0.037062	0.001942	0.034296	0.040207	13
Auth	fan-in	-0.032480	0.038497	-0.155324	-0.007998	13
NewcomerRisk	fan-in	-0.032353	0.041296	-0.166977	-0.007497	13
LocAdded	fan-in	-0.018426	0.011073	-0.045105	-0.004544	13
fan-in	fan-out	-0.017491	0.002372	-0.021142	-0.014612	13
Churn	fan-in	-0.017086	0.010487	-0.043165	-0.004031	13
LOC	fan-in	-0.014246	0.001307	-0.016389	-0.012253	13
NewcomerRisk	nSmell	-0.009379	0.062350	-0.212513	0.024323	13
LocAdded	nSmell	-0.008872	0.050465	-0.159445	0.024090	13
Churn	nSmell	-0.008643	0.048890	-0.154225	0.023596	13
WeekendCommit	fan-in	0.005637	0.007069	-0.002100	0.022424	13
Auth	nSmell	-0.001094	0.047596	-0.149289	0.027293	13
