feature	mean_rho	std	min	max	n_iters
Churn	-0.182570	0.036546	-0.253825	-0.126407	13
LocAdded	-0.182116	0.037272	-0.256944	-0.126023	13
Auth	-0.148948	0.045316	-0.195892	-0.054313	13
NewcomerRisk	-0.143337	0.044496	-0.189638	-0.058526	13
fan-out	-0.099665	0.023807	-0.159185	-0.074104	13
LOC	-0.082304	0.019008	-0.132887	-0.062246	13
CyclomaticComplexity	-0.078196	0.020142	-0.124335	-0.049653	13
nSmell	-0.020554	0.015796	-0.048123	-0.001247	13
WeekendCommit	-0.019919	0.030083	-0.047920	0.055794	13
fan-in	-0.004832	0.015796	-0.034011	0.011059	13
