"iteration","feature_selection","rank","attribute_name","attribute_index"
"1","GreedyStepwise Forward + CFS at iteration1","1","LocAdded","3"
"1","GreedyStepwise Forward + CFS at iteration1","2","fan-in","4"
"1","GreedyStepwise Forward + CFS at iteration1","3","nSmell","9"
"1","GreedyStepwise Backward + CFS at iteration1","1","LocAdded","3"
"1","GreedyStepwise Backward + CFS at iteration1","2","fan-in","4"
"1","GreedyStepwise Backward + CFS at iteration1","3","nSmell","9"
"1","BestFirst + CFS at iteration1","1","LocAdded","3"
"1","BestFirst + CFS at iteration1","2","fan-in","4"
"1","BestFirst + CFS at iteration1","3","nSmell","9"
"2","GreedyStepwise Forward + CFS at iteration2","1","Churn","2"
"2","GreedyStepwise Forward + CFS at iteration2","2","LocAdded","3"
"2","GreedyStepwise Backward + CFS at iteration2","1","Churn","2"
"2","GreedyStepwise Backward + CFS at iteration2","2","LocAdded","3"
"2","BestFirst + CFS at iteration2","1","Churn","2"
"2","BestFirst + CFS at iteration2","2","LocAdded","3"
"3","GreedyStepwise Forward + CFS at iteration3","1","Churn","2"
"3","GreedyStepwise Forward + CFS at iteration3","2","LocAdded","3"
"3","GreedyStepwise Backward + CFS at iteration3","1","Churn","2"
"3","GreedyStepwise Backward + CFS at iteration3","2","LocAdded","3"
"3","BestFirst + CFS at iteration3","1","Churn","2"
"3","BestFirst + CFS at iteration3","2","LocAdded","3"
"4","GreedyStepwise Forward + CFS at iteration4","1","Churn","2"
"4","GreedyStepwise Forward + CFS at iteration4","2","LocAdded","3"
"4","GreedyStepwise Backward + CFS at iteration4","1","Churn","2"
"4","GreedyStepwise Backward + CFS at iteration4","2","LocAdded","3"
"4","BestFirst + CFS at iteration4","1","Churn","2"
"4","BestFirst + CFS at iteration4","2","LocAdded","3"
"5","GreedyStepwise Forward + CFS at iteration5","1","Churn","2"
"5","GreedyStepwise Forward + CFS at iteration5","2","LocAdded","3"
"5","GreedyStepwise Backward + CFS at iteration5","1","Churn","2"
"5","GreedyStepwise Backward + CFS at iteration5","2","LocAdded","3"
"5","BestFirst + CFS at iteration5","1","Churn","2"
"5","BestFirst + CFS at iteration5","2","LocAdded","3"
"6","GreedyStepwise Forward + CFS at iteration6","1","Churn","2"
"6","GreedyStepwise Forward + CFS at iteration6","2","LocAdded","3"
"6","GreedyStepwise Backward + CFS at iteration6","1","Churn","2"
"6","GreedyStepwise Backward + CFS at iteration6","2","LocAdded","3"
"6","BestFirst + CFS at iteration6","1","Churn","2"
"6","BestFirst + CFS at iteration6","2","LocAdded","3"
"7","GreedyStepwise Forward + CFS at iteration7","1","Churn","2"
"7","GreedyStepwise Forward + CFS at iteration7","2","LocAdded","3"
"7","GreedyStepwise Backward + CFS at iteration7","1","Churn","2"
"7","GreedyStepwise Backward + CFS at iteration7","2","LocAdded","3"
"7","BestFirst + CFS at iteration7","1","Churn","2"
"7","BestFirst + CFS at iteration7","2","LocAdded","3"
"8","GreedyStepwise Forward + CFS at iteration8","1","Churn","2"
"8","GreedyStepwise Forward + CFS at iteration8","2","LocAdded","3"
"8","GreedyStepwise Backward + CFS at iteration8","1","Churn","2"
"8","GreedyStepwise Backward + CFS at iteration8","2","LocAdded","3"
"8","BestFirst + CFS at iteration8","1","Churn","2"
"8","BestFirst + CFS at iteration8","2","LocAdded","3"
"9","GreedyStepwise Forward + CFS at iteration9","1","Churn","2"
"9","GreedyStepwise Forward + CFS at iteration9","2","LocAdded","3"
"9","GreedyStepwise Backward + CFS at iteration9","1","Churn","2"
"9","GreedyStepwise Backward + CFS at iteration9","2","LocAdded","3"
"9","BestFirst + CFS at iteration9","1","Churn","2"
"9","BestFirst + CFS at iteration9","2","LocAdded","3"
"10","GreedyStepwise Forward + CFS at iteration10","1","Churn","2"
"10","GreedyStepwise Forward + CFS at iteration10","2","LocAdded","3"
"10","GreedyStepwise Backward + CFS at iteration10","1","Churn","2"
"10","GreedyStepwise Backward + CFS at iteration10","2","LocAdded","3"
"10","BestFirst + CFS at iteration10","1","Churn","2"
"10","BestFirst + CFS at iteration10","2","LocAdded","3"
"11","GreedyStepwise Forward + CFS at iteration11","1","Churn","2"
"11","GreedyStepwise Forward + CFS at iteration11","2","LocAdded","3"
"11","GreedyStepwise Backward + CFS at iteration11","1","Churn","2"
"11","GreedyStepwise Backward + CFS at iteration11","2","LocAdded","3"
"11","BestFirst + CFS at iteration11","1","Churn","2"
"11","BestFirst + CFS at iteration11","2","LocAdded","3"
"12","GreedyStepwise Forward + CFS at iteration12","1","Churn","2"
"12","GreedyStepwise Forward + CFS at iteration12","2","LocAdded","3"
"12","GreedyStepwise Backward + CFS at iteration12","1","Churn","2"
"12","GreedyStepwise Backward + CFS at iteration12","2","LocAdded","3"
"12","BestFirst + CFS at iteration12","1","Churn","2"
"12","BestFirst + CFS at iteration12","2","LocAdded","3"
"13","GreedyStepwise Forward + CFS at iteration13","1","Churn","2"
"13","GreedyStepwise Forward + CFS at iteration13","2","LocAdded","3"
"13","GreedyStepwise Backward + CFS at iteration13","1","Churn","2"
"13","GreedyStepwise Backward + CFS at iteration13","2","LocAdded","3"
"13","BestFirst + CFS at iteration13","1","Churn","2"
"13","BestFirst + CFS at iteration13","2","LocAdded","3"
"14","GreedyStepwise Forward + CFS at iteration14","1","Churn","2"
"14","GreedyStepwise Forward + CFS at iteration14","2","LocAdded","3"
"14","GreedyStepwise Backward + CFS at iteration14","1","Churn","2"
"14","GreedyStepwise Backward + CFS at iteration14","2","LocAdded","3"
"14","BestFirst + CFS at iteration14","1","Churn","2"
"14","BestFirst + CFS at iteration14","2","LocAdded","3"
"15","GreedyStepwise Forward + CFS at iteration15","1","Churn","2"
"15","GreedyStepwise Forward + CFS at iteration15","2","LocAdded","3"
"15","GreedyStepwise Backward + CFS at iteration15","1","Churn","2"
"15","GreedyStepwise Backward + CFS at iteration15","2","LocAdded","3"
"15","BestFirst + CFS at iteration15","1","Churn","2"
"15","BestFirst + CFS at iteration15","2","LocAdded","3"
