"classifier","feature_selection","iterations","avg_recall","avg_precision","avg_f1","avg_auc","avg_kappa","avg_accuracy","sum_tp","sum_fp","sum_tn","sum_fn","avg_pofb20","avg_npofb20"
"naive bayes","no","11","0.9547","0.9252","0.9374","0.6453","0.0820","0.8856","123089","9888","1218","6221","0.4628","0.3284"
"naive bayes","GreedyStepwise Backward + CFS","11","0.9860","0.9221","0.9509","0.4932","0.0243","0.9094","127187","10616","490","2123","0.5987","0.5829"
"IBK","GreedyStepwise Forward + CFS","11","0.9875","0.9209","0.9510","0.5145","0.0181","0.9094","127463","10826","280","1847","0.1808","0.1627"
"IBK","BestFirst + CFS","11","0.9875","0.9209","0.9510","0.5145","0.0181","0.9094","127463","10826","280","1847","0.1808","0.1627"
"naive bayes","BestFirst + CFS","11","0.9860","0.9221","0.9509","0.4932","0.0243","0.9094","127187","10616","490","2123","0.5987","0.5829"
"random forest","GreedyStepwise Backward + CFS","11","0.9878","0.9206","0.9510","0.5267","0.0131","0.9093","127493","10865","241","1817","0.3803","0.3567"
"naive bayes","GreedyStepwise Forward + CFS","11","0.9860","0.9221","0.9509","0.4932","0.0243","0.9094","127187","10616","490","2123","0.5987","0.5829"
"random forest","GreedyStepwise Forward + CFS","11","0.9878","0.9206","0.9510","0.5267","0.0131","0.9093","127493","10865","241","1817","0.3803","0.3567"
"IBK","GreedyStepwise Backward + CFS","11","0.9875","0.9209","0.9510","0.5145","0.0181","0.9094","127463","10826","280","1847","0.1808","0.1627"
"random forest","no","11","0.9851","0.9208","0.9497","0.6029","0.0332","0.9071","127171","10841","265","2139","0.1450","0.0151"
"random forest","BestFirst + CFS","11","0.9878","0.9206","0.9510","0.5267","0.0131","0.9093","127493","10865","241","1817","0.3803","0.3567"
"IBK","no","11","0.9810","0.9219","0.9484","0.5283","0.0485","0.9047","126619","10631","475","2691","0.1839","0.0375"
