classifier;feature_selection;iterations;avg_recall;avg_precision;avg_f1;avg_auc;avg_kappa;avg_accuracy;sum_tp;sum_fp;sum_tn;sum_fn;avg_pofb20;avg_npofb20
IBK;BestFirst + CFS;13;0.9915;0.9132;0.9492;0.5124;0.0168;0.9056;1043126;91311;2318;10914;0.3466;0.3286
IBK;GreedyStepwise Backward + CFS;13;0.9915;0.9132;0.9492;0.5124;0.0168;0.9056;1043126;91311;2318;10914;0.3466;0.3286
IBK;GreedyStepwise Forward + CFS;13;0.9915;0.9132;0.9492;0.5124;0.0168;0.9056;1043126;91311;2318;10914;0.3466;0.3286
IBK;no;13;0.9838;0.9146;0.9461;0.5403;0.0549;0.9002;1035179;89455;4174;18861;0.2438;101
random forest;BestFirst + CFS;13;0.9942;0.9143;0.9512;0.4967;0.0236;0.9097;1045183;89662;3967;8857;0.5075;0.4817
random forest;GreedyStepwise Backward + CFS;13;0.9942;0.9143;0.9512;0.4967;0.0236;0.9097;1045183;89662;3967;8857;0.5075;0.4817
random forest;GreedyStepwise Forward + CFS;13;0.9942;0.9143;0.9512;0.4967;0.0236;0.9097;1045183;89662;3967;8857;0.5075;0.4817
naive bayes;no;13;0.9641;0.9179;0.9387;0.6391;0.0876;0.8874;1011123;83413;10216;42917;0.4684;0.3355
naive bayes;BestFirst + CFS;13;0.9919;0.9129;0.9492;0.5211;0.0112;0.9056;1043524;91694;1935;10516;0.3451;0.3
naive bayes;GreedyStepwise Backward + CFS;13;0.9919;0.9129;0.9492;0.5211;0.0112;0.9056;1043524;91694;1935;10516;0.3451;0.3
naive bayes;GreedyStepwise Forward + CFS;13;0.9919;0.9129;0.9492;0.5211;0.0112;0.9056;1043524;91694;1935;10516;0.3451;0.3
random forest;no;13;0.9877;0.9137;0.9475;0.6046;0.0431;0.9025;1039644;91174;2455;14396;0.1887;0.0387
