"Index","MethodName","MethodSignature","LOC","CyclomaticComplexity","Churn","LocAdded","fan-in","fan-out","NewcomerRisk","Auth","WeekendCommit","nSmell","isBuggy"
"1","openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java::rollbackDataStore","(ConnectionSavepoint)","9","1","62","62","0","5","1.0","1","0","0","No"
"1","openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java::setDataStore","(ConnectionSavepoint)","10","1","62","62","0","5","1.0","1","0","0","No"
"1","openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java::map","(ValueMapping, String, ColumnIO, boolean)","27","3","100","100","0","10","1.0","1","0","1","No"
"1","openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java::toDataStoreValue","(ValueMapping, Object, JDBCStore)","8","3","100","100","0","2","1.0","1","0","1","No"
"1","openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java::toObjectValue","(ValueMapping, Object)","7","3","100","100","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java::newConfiguration","()","3","1","213","212","0","0","1.0","2","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java::executeOn","(String[])","23","5","214","213","0","11","1.0","1","0","1","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java::getValues","()","7","1","211","211","0","1","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java::getValues","()","7","1","211","211","0","1","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java::createCodeFormat","()","3","1","257","257","0","0","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java::newConfiguration","()","3","1","259","258","0","0","1.0","2","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java::executeOn","(String[])","24","8","257","257","0","10","1.0","1","0","1","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java::newConfiguration","()","3","1","149","148","0","0","1.0","2","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java::executeOn","(String[])","11","2","150","149","0","7","1.0","1","0","1","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setSchema","(String)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setSchemas","(String)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setSchemas","(String[])","4","1","900","900","0","2","1.0","1","0","1","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setTransactionIsolation","(String)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setTransactionIsolation","(int)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setResultSetType","(String)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setResultSetType","(int)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setFetchDirection","(String)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setFetchDirection","(int)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setEagerFetchMode","(String)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setEagerFetchMode","(int)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setSubclassFetchMode","(String)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setSubclassFetchMode","(int)","4","1","900","900","0","2","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java::setLRSSize","(String)","4","1","900","900","0","2","1.0","1","0","0","No"
